,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Nemuro,JP,43.32,145.57,60.49,94,52,9.06,broken clouds
330,Novikovo,RU,51.15,37.89,71.17,50,86,14.34,overcast clouds
331,Ishigaki,JP,24.34,124.16,83.93,79,100,9.4,overcast clouds
332,Sioux Lookout,CA,50.1,-91.92,53.6,76,40,16.11,light intensity shower rain
333,Bilibino,RU,68.05,166.44,33.17,88,56,5.14,broken clouds
334,Chadan,RU,51.28,91.58,56.01,66,69,2.51,broken clouds
335,Longonjo,AO,-12.91,15.25,66.18,63,85,3.29,overcast clouds
336,Najran,SA,17.49,44.13,84.2,18,0,4.7,clear sky
337,Fare,PF,-16.7,-151.02,78.22,77,31,18.03,scattered clouds
338,Copiapo,CL,-27.37,-70.33,60.8,59,0,10.29,clear sky
339,Onega,RU,63.91,38.14,51.48,86,3,9.31,clear sky
340,Narsaq,GL,60.92,-46.05,48.2,68,75,1.12,broken clouds
341,Kaffrine,SN,14.11,-15.55,84.2,83,75,11.95,broken clouds
342,Matara,LK,5.95,80.54,78.57,89,9,9.44,clear sky
343,Gorontalo,ID,0.54,123.06,75.18,88,76,2.62,broken clouds
344,Nerchinskiy Zavod,RU,51.31,119.61,51.82,82,100,7.61,overcast clouds
345,Tura,IN,25.52,90.22,75.56,83,98,2.04,overcast clouds
346,Ligayan,PH,4.65,119.47,83.84,75,95,9.66,overcast clouds
347,Winchester,GB,51.07,-1.32,64.4,93,75,6.93,broken clouds
348,Bujaru,BR,-1.51,-48.04,86.0,62,40,16.11,scattered clouds
349,Tawang,IN,27.58,91.87,57.11,77,100,0.11,overcast clouds
350,Luga,RU,58.74,29.85,62.96,95,100,6.53,light rain
351,Ilo,PE,-17.64,-71.34,63.28,69,6,9.66,clear sky
352,Raudeberg,NO,61.99,5.14,59.0,81,100,9.19,overcast clouds
353,Douentza,ML,15.0,-2.95,87.94,49,33,8.46,scattered clouds
354,Sampit,ID,-2.53,112.95,74.12,95,79,1.61,broken clouds
355,Rassvet,RU,46.83,40.75,77.4,34,0,17.56,clear sky
356,Alto Araguaia,BR,-17.31,-53.22,93.2,15,0,6.29,clear sky
357,Trairi,BR,-3.28,-39.27,80.44,61,0,15.5,clear sky
358,Rawson,AR,-43.3,-65.1,57.13,37,98,19.17,overcast clouds
359,Korla,CN,41.76,86.15,84.0,44,80,8.01,broken clouds
360,Husavik,IS,66.04,-17.34,41.0,86,90,20.8,light rain
361,Sendafa,ET,9.15,39.03,60.8,82,40,2.24,scattered clouds
362,Lavrentiya,RU,65.58,-171.0,40.77,79,100,7.11,overcast clouds
363,Zarubino,RU,42.63,131.09,66.85,87,0,13.51,clear sky
364,Saint-Joseph,RE,-21.37,55.62,66.2,77,75,5.82,broken clouds
365,Paracatu,BR,-17.22,-46.87,85.37,21,1,7.43,clear sky
366,Kevelaer,DE,51.58,6.25,68.0,77,99,7.0,overcast clouds
367,Sambava,MG,-14.27,50.17,68.65,79,0,11.79,clear sky
368,Hirara,JP,24.8,125.28,83.61,78,100,9.42,heavy intensity rain
369,Aden,YE,12.78,45.04,87.31,67,0,0.4,clear sky
370,Nelson Bay,AU,-32.72,152.15,61.0,87,46,4.7,scattered clouds
371,Khandyga,RU,62.67,135.6,46.49,92,0,4.97,clear sky
372,Havre,FR,49.58,0.33,66.2,88,90,8.05,overcast clouds
373,Natchitoches,US,31.77,-93.13,89.6,66,40,5.35,scattered clouds
374,Santiago Del Estero,AR,-27.8,-64.26,76.6,26,0,11.3,clear sky
375,Hare Bay,CA,48.85,-54.01,68.0,68,75,20.8,broken clouds
376,Guarapari,BR,-20.67,-40.5,81.0,63,0,14.97,clear sky
377,Knysna,ZA,-34.04,23.05,53.6,93,44,2.24,scattered clouds
378,Rudnichnyy,RU,59.62,52.47,44.02,84,100,2.77,overcast clouds
379,Walvis Bay,NA,-22.96,14.51,55.99,76,0,3.36,clear sky
380,Isilkul,RU,54.91,71.27,43.41,81,0,12.88,clear sky
381,Edgewater,US,28.99,-80.9,93.99,75,20,9.17,few clouds
382,Challapata,BO,-18.9,-66.77,57.85,24,100,8.99,overcast clouds
383,Koutsouras,GR,35.03,25.95,82.0,57,0,3.0,clear sky
384,Koshurnikovo,RU,54.17,93.3,52.66,100,81,3.27,broken clouds
385,San Quintin,MX,30.48,-115.95,75.11,68,1,11.56,clear sky
386,Shitanjing,CN,39.23,106.34,63.82,30,0,4.29,clear sky
387,West Bay,KY,19.37,-81.42,86.0,83,40,14.14,scattered clouds
388,Manggar,ID,-2.88,108.27,80.19,84,98,7.29,overcast clouds
389,Okhotsk,RU,59.38,143.3,50.18,80,100,5.21,overcast clouds
390,Dezful,IR,32.38,48.41,95.79,12,63,6.44,broken clouds
391,Semey,KZ,50.41,80.23,59.18,79,100,11.32,overcast clouds
392,Doha,QA,25.29,51.53,93.2,56,0,3.36,clear sky
393,Bose,IT,45.46,8.01,69.01,77,0,5.99,clear sky
394,Balkhash,KZ,46.84,74.98,70.5,55,97,8.99,overcast clouds
395,Sitka,US,57.05,-135.33,55.4,93,75,4.43,broken clouds
396,Rio Gallegos,AR,-51.62,-69.22,46.4,61,40,19.46,scattered clouds
397,Murgab,TM,37.5,61.97,75.2,47,0,7.76,clear sky
398,Slonim,BY,53.09,25.32,56.12,77,12,5.37,few clouds
399,Eyl,SO,7.98,49.82,76.23,80,4,22.1,clear sky
400,Shieli,KZ,44.17,66.75,75.7,30,0,10.27,clear sky
401,Hofn,IS,64.25,-15.21,48.9,75,100,21.61,heavy intensity rain
402,Labuhan,ID,-6.88,112.21,77.86,84,34,7.96,scattered clouds
403,Ziyang,CN,29.25,117.85,67.17,66,0,2.68,clear sky
404,Kasongo-Lunda,CD,-6.47,16.82,80.11,56,100,1.59,overcast clouds
405,Gazalkent,UZ,41.56,69.77,71.6,46,0,6.93,clear sky
406,Caravelas,BR,-17.71,-39.25,74.23,73,49,6.62,scattered clouds
407,Cockburn Town,TC,21.46,-71.14,83.37,78,98,17.31,overcast clouds
408,La Ligua,CL,-32.45,-71.23,62.6,59,0,8.05,clear sky
409,Constantine,DZ,36.37,6.61,68.0,68,75,8.05,broken clouds
410,Ancud,CL,-41.87,-73.82,54.0,63,0,4.0,light rain
411,Tchibanga,GA,-2.85,11.03,71.85,86,99,4.79,overcast clouds
412,Kibaya,TZ,-5.3,36.57,56.84,80,2,4.52,clear sky
413,Port Hardy,CA,50.7,-127.42,59.0,82,75,3.36,broken clouds
414,Isangel,VU,-19.55,169.27,68.0,72,75,17.74,broken clouds
415,La Ronge,CA,55.1,-105.28,57.2,44,20,19.46,few clouds
416,Atherton,GB,53.52,-2.49,61.0,73,70,7.0,broken clouds
417,Jinxiang,CN,22.86,115.7,81.77,80,10,9.28,clear sky
418,Sokol,RU,59.46,40.12,55.13,76,95,8.03,overcast clouds
419,Gizo,SB,-8.1,156.84,82.45,76,87,7.45,overcast clouds
420,Talcahuano,CL,-36.72,-73.12,53.6,71,75,6.93,broken clouds
421,Waddan,LY,29.16,16.14,86.4,32,0,22.39,clear sky
422,Yumen,CN,40.28,97.2,62.35,26,0,8.28,clear sky
423,Buncrana,IE,55.13,-7.45,59.0,72,20,16.11,few clouds
424,Deer Lake,CA,49.17,-57.43,68.0,82,90,17.22,overcast clouds
425,Kirakira,SB,-10.45,161.92,79.95,82,88,15.39,overcast clouds
426,Yeniseysk,RU,58.45,92.17,58.86,96,58,6.17,broken clouds
427,Axams,AT,47.21,11.29,60.8,67,75,1.12,broken clouds
428,Leh,IN,34.17,77.58,61.16,33,27,6.26,scattered clouds
429,Meulaboh,ID,4.14,96.13,75.85,84,65,3.65,broken clouds
430,Bilma,NE,18.69,12.92,92.91,38,96,20.51,overcast clouds
431,Hambantota,LK,6.12,81.12,77.0,100,75,3.36,broken clouds
432,Andenes,NO,69.31,16.12,55.4,66,0,8.05,clear sky
433,Xichang,CN,27.9,102.26,68.61,73,100,1.16,overcast clouds
434,Prince Rupert,CA,54.32,-130.32,57.2,93,90,6.93,light rain
435,Worthing,GB,50.81,-0.37,64.4,100,75,16.11,light intensity drizzle
436,Talisay,PH,10.24,123.85,80.6,83,20,1.12,few clouds
437,Bethel,US,41.37,-73.41,82.99,42,1,4.7,clear sky
438,Broome,US,42.25,-75.83,73.99,77,90,6.93,light rain
439,Oranjemund,NA,-28.55,16.43,59.88,47,0,4.59,clear sky
440,Khanu Woralaksaburi,TH,16.06,99.86,86.0,70,70,2.39,broken clouds
441,Naron,ES,43.52,-8.15,73.99,73,0,3.78,clear sky
442,Sarangani,PH,5.4,125.46,83.7,75,100,10.33,overcast clouds
443,Oro Valley,US,32.39,-110.97,98.01,36,0,1.99,clear sky
444,Yenagoa,NG,4.92,6.26,76.12,90,100,5.35,overcast clouds
445,Chai Badan,TH,15.2,101.13,82.99,89,64,2.73,light rain
446,Noumea,NC,-22.28,166.46,64.4,59,90,12.75,overcast clouds
447,Livingston,GB,55.9,-3.52,57.0,71,20,14.99,few clouds
448,Itoman,JP,26.12,127.67,80.6,88,40,4.7,scattered clouds
449,Waw,SS,7.7,28.0,70.77,92,95,1.16,overcast clouds
450,Aswan,EG,24.09,32.91,90.14,11,0,9.71,clear sky
451,Lokosovo,RU,61.13,74.82,44.89,92,56,8.97,broken clouds
452,Amuntai,ID,-2.42,115.25,72.21,99,100,1.25,overcast clouds
453,Pisco,PE,-13.7,-76.22,66.2,68,2,21.92,clear sky
454,Kisangani,CD,0.52,25.2,74.91,81,100,0.72,light rain
455,Ekibastuz,KZ,51.67,75.37,52.59,59,67,13.04,broken clouds
456,La Sarre,CA,48.8,-79.2,63.05,76,100,10.76,heavy intensity rain
457,Thionville,FR,49.33,6.33,69.8,52,75,8.05,broken clouds
458,Lompoc,US,34.64,-120.46,72.0,77,20,13.87,few clouds
459,Lafiagi,NG,8.87,5.42,77.77,85,53,1.88,light rain
460,Sibiti,CG,-3.68,13.35,75.69,68,84,4.61,broken clouds
461,Sahuaripa,MX,29.05,-109.23,93.9,45,4,4.97,clear sky
462,Port-Cartier,CA,50.03,-66.87,64.0,67,75,9.17,broken clouds
463,Kachug,RU,53.96,105.88,48.43,86,0,1.21,clear sky
464,Altay,CN,47.87,88.12,65.37,49,100,9.19,moderate rain
465,Nizhnyaya Poyma,RU,56.16,97.19,58.55,88,95,5.64,overcast clouds
466,Kendari,ID,-3.94,122.5,73.53,94,46,3.44,scattered clouds
467,Saint-Pierre,RE,-21.34,55.48,66.2,77,75,5.82,broken clouds
468,Adrar,MR,20.5,-10.07,101.05,18,45,8.25,scattered clouds
469,Bourg-En-Bresse,FR,46.17,5.17,64.99,58,89,1.99,overcast clouds
470,Ust-Kuyga,RU,70.02,135.6,38.19,77,0,2.75,clear sky
471,Kalininsk,RU,51.5,44.48,53.74,56,0,7.25,clear sky
472,Slave Lake,CA,55.28,-114.77,62.6,51,1,14.99,clear sky
473,Sidi Bin Nur,TN,35.53,10.92,77.0,73,40,10.29,scattered clouds
474,Mairena Del Alcor,ES,37.37,-5.75,89.01,23,0,9.17,clear sky
475,Moerai,PF,-22.43,-151.33,72.32,79,96,14.25,overcast clouds
476,Pedro Ii,BR,-4.42,-41.46,91.42,22,3,6.35,clear sky
477,Murray,US,40.67,-111.89,88.0,20,1,9.17,clear sky
478,Nome,US,64.5,-165.41,44.6,81,75,4.7,broken clouds
479,Bryant,US,34.6,-92.49,82.4,74,1,4.7,clear sky
480,Batemans Bay,AU,-35.72,150.18,55.99,88,99,3.2,overcast clouds
481,Rundu,NA,-17.93,19.77,75.47,30,68,5.48,broken clouds
482,Nanakuli,US,21.39,-158.15,82.4,58,1,6.93,clear sky
483,Faya,SA,18.39,42.45,73.4,23,0,8.05,clear sky
484,San Cristobal,VE,7.77,-72.22,87.8,55,40,16.11,scattered clouds
485,Pelotas,BR,-31.77,-52.34,61.0,77,97,1.99,overcast clouds
486,Aviles,ES,43.55,-5.92,73.99,82,0,4.7,clear sky
487,Vao,NC,-22.67,167.48,65.57,71,55,22.28,light rain
488,Yabelo,ET,4.88,38.08,64.38,62,100,8.1,overcast clouds
489,Leo,BF,11.1,-2.1,74.34,92,100,5.53,overcast clouds
490,Tutoia,BR,-2.76,-42.27,80.62,72,100,13.15,overcast clouds
491,Paamiut,GL,61.99,-49.67,45.01,78,100,20.11,moderate rain
492,Yunyang,CN,33.45,112.71,67.71,48,0,5.73,light rain
493,Ulaanbaatar,MN,47.91,106.88,42.8,93,0,4.47,clear sky
494,Neiafu,TO,-18.65,-173.98,71.6,94,75,2.24,broken clouds
495,Dauriya,RU,49.93,116.87,52.48,76,100,10.33,overcast clouds
496,High Rock,BS,26.62,-78.28,91.4,66,20,8.05,few clouds
497,Surgut,RU,61.25,73.42,46.4,87,75,11.18,light intensity shower rain
498,Vestmannaeyjar,IS,63.44,-20.27,50.0,71,75,20.8,broken clouds
499,Bismarck,US,46.81,-100.78,68.0,42,1,16.11,clear sky
500,Bhatkal,IN,13.97,74.57,77.52,86,100,3.83,overcast clouds
501,Beeville,US,28.4,-97.75,95.0,53,40,6.93,scattered clouds
502,Hanstholm,DK,57.12,8.62,62.01,36,87,1.01,overcast clouds
503,Alihe,CN,50.57,123.72,55.65,92,100,12.95,overcast clouds
504,Muli,MV,2.92,73.57,83.05,78,1,18.01,clear sky
505,Praia,CV,14.92,-23.51,82.4,69,75,12.75,broken clouds
506,Talaya,RU,61.38,152.75,39.29,74,100,0.74,overcast clouds
507,Olinda,BR,-8.01,-34.86,78.8,69,75,12.75,broken clouds
508,Berlevag,NO,70.86,29.09,59.0,58,4,21.92,clear sky
509,Lazaro Cardenas,MX,17.96,-102.2,84.76,75,13,7.52,few clouds
510,Loukhi,RU,66.08,33.04,52.21,93,0,6.93,clear sky
511,Ruwi,OM,23.6,58.55,87.8,70,61,5.82,broken clouds
512,Fallon,US,39.47,-118.78,93.99,13,1,4.7,clear sky
513,Catuday,PH,16.29,119.81,80.73,78,80,2.91,broken clouds
514,Batsfjord,NO,70.63,29.72,59.0,58,23,21.92,few clouds
515,Turayf,SA,31.67,38.66,91.4,14,40,4.7,scattered clouds
516,Broken Hill,AU,-31.95,141.43,50.0,61,20,5.82,few clouds
517,Tautira,PF,-17.73,-149.15,82.4,69,20,2.24,few clouds
518,Dawlatabad,AF,36.41,64.91,68.83,25,0,0.89,clear sky
519,Opuwo,NA,-18.06,13.84,69.21,24,45,6.82,scattered clouds
520,Scottsbluff,US,41.87,-103.67,79.0,28,1,4.85,clear sky
521,Samarai,PG,-10.62,150.67,77.83,85,67,14.63,broken clouds
522,Izvestkovyy,RU,48.98,131.55,63.63,93,77,15.84,broken clouds
523,Lucapa,AO,-8.42,20.74,75.96,35,65,2.84,broken clouds
524,Koslan,RU,63.46,48.9,48.92,89,100,3.74,overcast clouds
525,Smithers,CA,54.78,-127.17,55.4,76,75,6.93,broken clouds
526,Bucerias,MX,20.75,-105.33,90.0,78,25,4.0,scattered clouds
527,Aljezur,PT,37.32,-8.8,71.01,60,0,1.01,clear sky
528,Boende,CD,-0.22,20.87,77.83,73,99,2.68,overcast clouds
529,Biloela,AU,-24.42,150.5,62.76,87,97,5.03,overcast clouds
530,Eskisehir,TR,39.78,30.52,78.8,57,0,6.93,clear sky
531,Biak,ID,-0.91,122.88,77.13,80,92,6.42,overcast clouds
532,Kamaishi,JP,39.27,141.88,76.87,90,28,3.76,scattered clouds
533,Areosa,PT,41.72,-8.86,80.01,68,0,4.7,clear sky
534,Srednekolymsk,RU,67.45,153.68,39.06,73,100,7.31,overcast clouds
535,Eirunepe,BR,-6.66,-69.87,93.6,41,86,2.3,very heavy rain
536,Elko,US,41.0,-115.5,91.4,11,1,5.82,clear sky
537,Cabedelo,BR,-6.98,-34.83,78.8,69,75,14.99,broken clouds
538,Novyye Gorki,RU,56.73,41.06,52.7,79,97,6.71,overcast clouds
539,Myronivka,UA,49.66,30.98,69.1,78,100,14.2,light rain
540,Sainte-Maxime,FR,43.3,6.63,71.6,73,0,4.7,clear sky
541,Benavente,ES,42.0,-5.68,80.01,29,0,2.24,clear sky
542,Naryan-Mar,RU,67.67,53.09,46.72,91,24,7.11,few clouds
543,Passos,BR,-20.72,-46.61,83.98,27,55,3.89,broken clouds
544,Matucana,PE,-11.85,-76.4,69.35,26,55,9.64,broken clouds
545,Kaputa,ZM,-8.47,29.66,72.23,44,0,4.18,clear sky
546,Rumphi,MW,-11.02,33.86,59.88,69,13,2.75,few clouds
547,Tirschenreuth,DE,49.88,12.33,62.01,73,100,3.15,light rain
548,Monticello,US,45.31,-93.79,66.2,42,40,21.18,scattered clouds
549,Cardston,CA,49.2,-113.3,77.0,27,75,11.41,broken clouds
550,Harper,LR,4.38,-7.72,76.01,88,95,9.86,light rain
551,Lavumisa,SZ,-27.31,31.89,60.82,85,4,1.95,clear sky
552,Albanel,CA,48.88,-72.45,69.8,56,40,6.93,scattered clouds
553,Nioro,GM,13.35,-15.75,75.76,93,100,6.85,light rain
554,Owando,CG,-0.48,15.9,76.1,81,36,2.26,light rain
555,Caramay,PH,10.18,119.24,79.97,74,64,1.74,broken clouds
556,Tchollire,CM,8.4,14.17,71.71,94,95,1.45,light rain
557,Natal,BR,-5.79,-35.21,82.4,65,20,20.8,few clouds
558,Mareeba,AU,-17.0,145.43,69.8,88,75,6.93,broken clouds
559,Kyzyl-Mazhalyk,RU,51.13,90.6,56.46,58,100,0.96,overcast clouds
560,Markova,UA,48.68,24.41,58.05,95,100,2.42,overcast clouds
561,Baijiantan,CN,45.63,85.18,79.61,34,100,15.88,light rain
562,Touros,BR,-5.2,-35.46,80.6,69,40,13.87,scattered clouds
563,Boddam,GB,57.47,-1.78,57.2,67,75,10.29,broken clouds
564,Henties Bay,NA,-22.12,14.28,55.99,89,0,7.05,clear sky
565,Guerrero Negro,MX,27.98,-114.06,81.66,53,0,13.33,clear sky
566,Havoysund,NO,71.0,24.66,60.8,58,0,12.75,clear sky
567,Kalundborg,DK,55.68,11.09,57.99,93,100,10.29,mist
568,Bahia Blanca,AR,-38.72,-62.27,63.79,33,87,15.88,overcast clouds
569,Carauari,BR,-4.88,-66.9,91.83,48,73,0.45,light rain
570,Asfi,MA,32.3,-9.24,71.53,83,7,3.31,clear sky
571,Sohagpur,IN,22.7,78.2,75.25,91,80,3.36,broken clouds
572,Monte Patria,CL,-30.69,-70.95,74.19,21,0,5.48,clear sky
573,Santa Rosa,PH,14.31,121.11,82.4,78,100,1.72,overcast clouds
574,Kununurra,AU,-15.77,128.73,73.4,82,0,4.7,clear sky
575,Pundaguitan,PH,6.37,126.17,82.81,72,76,2.33,broken clouds
576,Bambanglipuro,ID,-7.95,110.28,74.91,92,41,6.49,scattered clouds
577,Lubao,PH,14.92,120.55,77.0,94,75,4.7,broken clouds
578,Nusaybin,TR,37.08,41.22,95.0,14,7,9.17,clear sky
579,Pangody,RU,65.85,74.49,47.25,79,98,18.92,overcast clouds
580,Tawau,MY,4.25,117.89,75.2,100,20,4.03,few clouds
581,Puerto Madero,MX,14.72,-92.42,83.64,74,100,7.27,overcast clouds
582,Malibu,US,34.01,-118.81,82.0,80,22,3.0,few clouds
583,Uyovu,TZ,-3.28,31.53,65.43,62,1,3.96,clear sky
584,Phalaborwa,ZA,-23.94,31.14,68.0,60,0,3.36,clear sky
585,Leirvik,NO,59.78,5.5,57.99,91,59,7.0,broken clouds
586,Moyale,KE,3.52,39.06,71.56,52,2,9.4,clear sky
587,Qaqortoq,GL,60.72,-46.03,48.2,81,75,1.12,broken clouds
588,Bagdarin,RU,54.43,113.6,46.62,86,1,3.22,clear sky
589,Benton Harbor,US,42.12,-86.45,86.0,35,20,20.8,few clouds
590,Sompeta,IN,18.93,84.6,81.03,82,100,6.2,overcast clouds
591,Nabire,ID,-3.37,135.48,76.73,84,100,2.77,overcast clouds
592,Obo,CF,5.4,26.49,67.8,96,69,2.86,broken clouds
593,Zaysan,KZ,47.47,84.87,67.66,51,100,5.91,overcast clouds
594,Buchanan,LR,5.88,-10.05,80.6,83,75,6.93,broken clouds
595,La Orilla,MX,17.98,-102.23,84.47,76,13,7.56,few clouds
596,Pandan,PH,14.05,124.17,80.37,82,87,5.75,overcast clouds
597,Paka,MY,4.64,103.44,78.8,94,2,4.5,clear sky
598,Hohhot,CN,40.81,111.65,46.4,81,10,4.47,clear sky
599,Bouca,CF,6.51,18.27,72.86,90,100,2.06,light rain
600,Ganta,LR,7.3,-8.53,70.79,99,99,3.27,overcast clouds
601,Nuuk,GL,64.18,-51.72,48.2,45,75,2.24,broken clouds
602,Russellville,US,35.28,-93.13,80.6,78,75,5.82,broken clouds
603,Gat,IL,31.61,34.76,84.99,100,0,3.42,clear sky
604,Kieta,PG,-6.22,155.63,79.54,75,69,3.8,broken clouds
605,Melendugno,IT,40.27,18.34,73.4,83,93,3.36,overcast clouds
606,Chama,CH,47.18,8.46,62.6,82,1,3.09,clear sky
607,Langue,HN,13.62,-87.65,82.4,65,75,2.71,broken clouds
608,Yerbogachen,RU,61.28,108.01,47.39,81,100,5.03,overcast clouds
609,Dryden,CA,49.78,-92.75,53.6,76,20,17.22,few clouds
610,Porto Walter,BR,-8.27,-72.74,92.17,42,98,0.94,overcast clouds
611,Vredendal,ZA,-31.67,18.5,58.15,46,0,0.92,clear sky
612,Toora-Khem,RU,52.47,96.11,48.25,87,9,0.83,light rain
613,De Aar,ZA,-30.65,24.01,60.46,34,0,4.16,clear sky
614,Muyezerskiy,RU,63.93,31.65,54.25,89,18,8.25,few clouds
615,Zhanaozen,KZ,43.3,52.8,77.99,28,15,12.06,few clouds
616,Jelgava,LV,56.65,23.71,60.8,77,3,5.82,clear sky
617,Wuhu,CN,31.34,118.38,69.8,100,53,2.24,light rain
618,Dali,CN,25.7,100.18,63.86,80,93,3.13,overcast clouds
619,Villa Carlos Paz,AR,-31.42,-64.5,61.0,67,0,11.41,clear sky
620,Marawi,PH,8.0,124.29,75.99,91,84,5.01,broken clouds
621,Hit,IQ,33.64,42.83,94.41,13,0,9.1,clear sky
622,Riohacha,CO,11.54,-72.91,84.02,70,100,9.71,light rain
623,Ternate,ID,0.8,127.4,79.56,78,100,2.8,overcast clouds
624,Oriximina,BR,-1.77,-55.87,94.6,37,65,5.64,light rain
625,Bathsheba,BB,13.22,-59.52,80.6,88,75,8.05,light rain
626,Labuan,MY,5.28,115.24,78.8,88,20,2.24,few clouds
627,Ellisras,ZA,-23.66,27.74,63.64,52,0,4.47,clear sky
628,Ostrovnoy,RU,68.05,39.51,50.23,86,99,14.27,overcast clouds
629,Evensk,RU,61.95,159.23,44.15,65,3,9.28,clear sky
630,Buzmeyin,TM,38.05,58.21,78.8,27,0,2.24,clear sky
631,Tartagal,AR,-22.52,-63.8,80.6,42,0,5.88,clear sky
632,Pesaro,IT,43.9,12.89,70.0,64,0,1.99,clear sky
633,Jamame,SO,0.07,42.75,75.2,78,1,10.07,clear sky
634,Mersin,TR,36.86,34.65,87.8,52,0,4.7,clear sky
635,Creel,MX,27.75,-107.63,66.36,58,88,7.74,overcast clouds
636,Kavaratti,IN,10.57,72.64,81.82,78,100,10.6,overcast clouds
637,Ornskoldsvik,SE,63.29,18.72,55.4,100,100,3.36,mist
638,Bontang,ID,0.13,117.5,76.53,90,100,6.96,overcast clouds
639,Carmelo,UY,-33.99,-58.29,55.4,62,75,4.7,broken clouds
640,Ayan,RU,56.45,138.17,52.34,88,100,5.61,overcast clouds
641,Ondangwa,NA,-17.92,15.95,84.2,32,87,2.24,overcast clouds
642,Nizwa,OM,22.93,57.53,86.49,36,95,1.92,overcast clouds
643,Ebejico,CO,6.33,-75.77,71.6,64,75,20.8,thunderstorm with light rain
644,Grande Prairie,CA,55.17,-118.8,62.6,45,75,19.46,broken clouds
645,Valkeala,FI,60.94,26.8,59.0,100,75,5.82,broken clouds
646,Nakamura,JP,32.98,132.93,75.16,93,57,2.08,broken clouds
647,Scarborough,GB,54.28,-0.4,60.01,73,0,12.66,light rain
648,Camacupa,AO,-12.02,17.48,73.74,39,99,3.83,overcast clouds
649,Trincomalee,LK,8.57,81.23,80.96,77,63,10.45,broken clouds
650,Saravan,AM,39.72,45.65,77.0,47,40,13.87,scattered clouds
651,Tanout,NE,14.97,8.89,89.53,42,42,7.05,scattered clouds
652,Canoinhas,BR,-26.18,-50.39,76.17,50,55,5.48,broken clouds
653,Odweyne,SO,9.41,45.06,82.56,41,57,10.51,broken clouds
654,Blagoyevo,RU,63.37,47.92,48.45,89,93,3.38,overcast clouds
655,Mao,ES,39.89,4.27,73.4,60,20,3.36,few clouds
656,Auki,SB,-8.77,160.7,79.0,83,91,5.14,overcast clouds
657,San Jeronimo,PE,-11.95,-75.28,63.34,39,60,8.16,broken clouds
658,Swan Hill,AU,-35.34,143.55,44.71,81,100,4.45,overcast clouds
659,Sabang,ID,5.89,95.32,83.37,72,100,9.93,heavy intensity rain
660,Hornepayne,CA,49.21,-84.77,51.78,78,100,23.94,overcast clouds
661,Kyaukse,MM,21.6,96.13,80.06,81,91,4.34,overcast clouds
662,Ovre Ardal,NO,61.32,7.8,50.0,100,75,17.22,shower rain
663,Lampang,TH,18.33,99.5,75.58,88,79,1.7,broken clouds
